"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"21",21,0.123232007026672,0.531955301761627,5090.25927734375,1.15513026714325,0,0,0,0.16834345459938,0.225046724081039,0.0567032098770142,0.0373431406915188,587.529663085938,799.997314453125,61.9296188354492,134.027603149414,391.573516845703,0.640656888484955,0.228274911642075,11.3449573516846,NA,NA,0.180419623851776,0.00789262447506189,0.0904324054718018,0.0447249300777912,0.259875744581223,0.0573115982115269,7.36997699737549,0.394631236791611,1.55597817897797,1.11812138557434,0.742502212524414,0.163747355341911,0.00591893633827567,0.110469006001949,0.111886970698833,0.59189361333847,NA,NA,200,0,3.31203722953796,-9179.7724609375,1.52493906021118,NA,3.44281959533691,0.172141045331955,3.44281983375549,0.172141060233116,21.0269718170166,0.0168162230402231,0.0485467202961445,0.237828299403191,0.160162195563316,0.00382640212774277,0.00540856830775738,0.0663202628493309,3.80565357208252
"22",22,0.143286690115929,0.620156049728394,5799.78662109375,1.17305409908295,0,0,0,0.196906328201294,0.263041436672211,0.0661351606249809,0.04373449832201,587.529663085938,799.997192382812,72.4133605957031,129.299682617188,385.819580078125,0.75347238779068,0.26864367723465,13.2979774475098,NA,NA,0.211208805441856,0.0102312890812755,0.105426535010338,0.0521405376493931,0.307204335927963,0.0672609284520149,8.59903526306152,0.511564612388611,1.81396722793579,1.30351066589355,0.877726674079895,0.192173972725868,0.00693246116861701,0.129303470253944,0.13240772485733,0.693246126174927,NA,NA,200,0,3.85264301300049,-9179.7646484375,1.78606629371643,NA,3.80218887329102,0.190109327435493,3.80218887329102,0.190109327435493,22.0294742584229,0.0193531550467014,0.051524855196476,0.270978987216949,0.182487070560455,0.00509104412049055,0.00641394034028053,0.07767703384161,3.82655239105225
"23",23,0.169508412480354,0.726664483547211,7259.439453125,1.12407553195953,0,0,0,0.230205565690994,0.30779042840004,0.0775850787758827,0.051183208823204,587.529663085938,799.997192382812,84.6925888061523,124.590103149414,378.247772216797,0.885381102561951,0.315760940313339,15.4332542419434,NA,NA,0.248171478509903,0.00981085188686848,0.123532965779305,0.0610954016447067,0.362579196691513,0.0801911130547523,10.0247669219971,0.490542739629745,2.12550449371338,1.52738225460052,1.03594052791595,0.229117289185524,0.00811551883816719,0.151257455348969,0.156387969851494,0.811551868915558,NA,NA,200,0,4.35516500473022,-9179.7626953125,2.08677530288696,NA,7.58829879760742,0.37941512465477,7.58829832077026,0.37941512465477,23.0319766998291,0.0221583321690559,0.0545663721859455,0.339177250862122,0.228414237499237,0.00511903595179319,0.00748515501618385,0.0907524302601814,3.84604549407959
"24",24,0.197316333651543,0.853334248065948,8101.93798828125,1.16288363933563,0,0,0,0.269571453332901,0.360533565282822,0.0909619405865669,0.0598946660757065,587.529663085938,799.9970703125,99.2266082763672,119.743911743164,368.560852050781,1.03973352909088,0.371083170175552,18.2575988769531,NA,NA,0.288149237632751,0.0134575255215168,0.145066827535629,0.0717453435063362,0.427313268184662,0.0940012782812119,11.805606842041,0.672876358032227,2.49601531028748,1.79363071918488,1.22089505195618,0.268574744462967,0.00949839968234301,0.177062571048737,0.184522196650505,0.949839949607849,NA,NA,200,0,5.424241065979,-9179.7548828125,2.44540119171143,NA,4.57552051544189,0.228776082396507,4.57552051544189,0.228776097297668,24.0344791412354,0.0252478085458279,0.057669248431921,0.37854066491127,0.254922986030579,0.0053252037614584,0.00820793770253658,0.106352567672729,3.85698676109314
"25",25,0.232742518186569,0.996206521987915,9997.6005859375,1.12363183498383,0,0,0,0.316248327493668,0.422480016946793,0.106231644749641,0.0701724737882614,587.529663085938,799.997009277344,116.25545501709,115.026588439941,356.248321533203,1.2208878993988,0.435996919870377,21.3457450866699,NA,NA,0.339977085590363,0.0134798949584365,0.169355109333992,0.0837575346231461,0.502962589263916,0.111355796456337,13.9087009429932,0.673994839191437,2.91392016410828,2.09393525123596,1.43703603744507,0.318159103393555,0.011123807169497,0.207368239760399,0.217504873871803,1.11238074302673,NA,NA,200,0,6.1378493309021,-9179.7431640625,2.86689448356628,NA,9.88347339630127,0.494173735380173,9.88347339630127,0.494173735380173,25.0369815826416,0.0286377780139446,0.0608314350247383,0.467110276222229,0.314568966627121,0.00718813389539719,0.0103574329987168,0.124679990112782,3.86053562164307
"26",26,0.269851058721542,1.16286706924438,10981.4169921875,1.17227852344513,0,0,0,0.368874043226242,0.492798864841461,0.123925089836121,0.08208167552948,587.529663085938,799.996948242188,135.603271484375,110.736122131348,341.191375732422,1.4323194026947,0.511355757713318,24.8316516876221,NA,NA,0.395866334438324,0.0195271223783493,0.197687402367592,0.0977697595953941,0.591316878795624,0.130152031779289,15.9483127593994,0.976356387138367,3.40140295028687,2.44424080848694,1.68947684764862,0.371862411499023,0.0130174495279789,0.242347240447998,0.255991101264954,1.30174493789673,NA,NA,200,0,7.03854370117188,-9179.677734375,3.3389093875885,NA,5.41903924942017,0.270951837301254,5.41903924942017,0.270951837301254,26.0394840240479,0.032344538718462,0.0640510246157646,0.513076364994049,0.345524221658707,0.00999913923442364,0.0122291073203087,0.145212471485138,3.88294982910156
"27",27,0.319192558526993,1.37342250347137,13735.7255859375,1.12278401851654,0,0,0,0.433126479387283,0.579644083976746,0.146517246961594,0.0960759818553925,587.529663085938,799.996704101562,159.503799438477,106.581809997559,321.445007324219,1.68018591403961,0.600556671619415,29.2758598327637,NA,NA,0.463534086942673,0.0182736665010452,0.233481794595718,0.115472517907619,0.695714831352234,0.153709083795547,19.0311622619629,0.913683533668518,4.01728105545044,2.88680911064148,1.98775672912598,0.439168125391006,0.0152365015819669,0.284059226512909,0.301260948181152,1.52365016937256,NA,NA,200,0,8.62280082702637,-9179.5244140625,3.92994666099548,NA,14.3207054138184,0.716035544872284,14.320704460144,0.716035544872284,27.0419864654541,0.0363845489919186,0.0673262923955917,0.641763806343079,0.432187020778656,0.00989941693842411,0.0142826670780778,0.170910686254501,3.87920379638672
"28",28,0.368807315826416,1.59411871433258,14864.197265625,1.18132281303406,0,0,0,0.50644451379776,0.676003396511078,0.169559180736542,0.112564623355865,587.529663085938,799.996643066406,186.067733764648,103.10676574707,298.354949951172,1.97018361091614,0.704435229301453,34.073055267334,NA,NA,0.542129039764404,0.0278406795114279,0.27100020647049,0.134027898311615,0.816331207752228,0.178854584693909,21.8241233825684,1.39203381538391,4.66282081604004,3.35069012641907,2.33237457275391,0.511012434959412,0.0178436171263456,0.332386940717697,0.354204654693604,1.78436172008514,NA,NA,200,0,9.68006992340088,-9179.1318359375,4.58972072601318,NA,6.32925939559937,0.316462993621826,6.32925939559937,0.316462993621826,28.0444889068604,0.0407743714749813,0.070655532181263,0.694488644599915,0.46769380569458,0.0137378619983792,0.0168339442461729,0.199612513184547,3.89022588729858
"29",29,0.436790853738785,1.87385153770447,18765.708984375,1.12409472465515,0,0,0,0.592663168907166,0.792675614356995,0.200012028217316,0.131744563579559,587.529663085938,799.996459960938,218.121673583984,100.184753417969,269.2236328125,2.30933475494385,0.826196551322937,40.0492668151855,NA,NA,0.63691234588623,0.0258698090910912,0.318554818630219,0.157546848058701,0.958601057529449,0.211849853396416,25.9919242858887,1.29349040985107,5.48104238510132,3.93866324424744,2.73886013031006,0.605284631252289,0.0208895485848188,0.389153838157654,0.416153192520142,2.08895492553711,NA,NA,200,0,11.6927785873413,-9178.4892578125,5.37534141540527,NA,20.2508945465088,1.01254439353943,20.2508945465088,1.01254439353943,29.0469913482666,0.0455305352807045,0.074037104845047,0.876775979995728,0.59045273065567,0.0136008504778147,0.0196647103875875,0.233769297599792,3.89653825759888
"30",30,0.506988763809204,2.18590092658997,20812.79296875,1.16462659835815,0,0,0,0.693727612495422,0.92672324180603,0.232995718717575,0.154229775071144,587.529663085938,799.996276855469,255.063446044922,97.883544921875,234.584091186523,2.70649123191833,0.968529462814331,46.8254928588867,NA,NA,0.743526458740234,0.0363265834748745,0.371603190898895,0.18378284573555,1.12438869476318,0.246863648295403,30.1029510498047,1.81632900238037,6.39378881454468,4.5945611000061,3.2125391960144,0.705324292182922,0.0244541391730309,0.455378621816635,0.488696724176407,2.4454140663147,NA,NA,200,0,13.4643297195435,-9178.0810546875,6.2870078086853,NA,11.1738471984863,0.558692157268524,11.1738471984863,0.558692157268524,30.0494937896729,0.0506698004901409,0.0774692371487617,0.972420275211334,0.654863059520721,0.0187686625868082,0.0231430679559708,0.273427128791809,3.90137457847595
